,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score
0,titanic,PassengerId,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
1,titanic,PassengerId,Nominal,OneHotEncoder,BinaryEncoder,0.8305084745762712
2,titanic,PassengerId,Nominal,OneHotEncoder,HashingEncoder,0.8305084745762712
3,titanic,PassengerId,Nominal,OneHotEncoder,HashingEncoder,0.6949152542372882
4,titanic,PassengerId,Nominal,BinaryEncoder,OneHotEncoder,0.823728813559322
5,titanic,PassengerId,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
6,titanic,PassengerId,Nominal,BinaryEncoder,HashingEncoder,0.823728813559322
7,titanic,PassengerId,Nominal,BinaryEncoder,HashingEncoder,0.6949152542372882
8,titanic,PassengerId,Nominal,HashingEncoder,OneHotEncoder,0.6949152542372882
9,titanic,PassengerId,Nominal,HashingEncoder,BinaryEncoder,0.6949152542372882
10,titanic,PassengerId,Nominal,HashingEncoder,HashingEncoder,0.6949152542372882
11,titanic,PassengerId,Nominal,HashingEncoder,HashingEncoder,0.6949152542372882
12,titanic,Name,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
13,titanic,Name,Nominal,OneHotEncoder,BinaryEncoder,0.8271186440677966
14,titanic,Name,Nominal,OneHotEncoder,HashingEncoder,0.8271186440677966
15,titanic,Name,Nominal,OneHotEncoder,HashingEncoder,0.6983050847457627
16,titanic,Name,Nominal,BinaryEncoder,OneHotEncoder,0.8169491525423729
17,titanic,Name,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
18,titanic,Name,Nominal,BinaryEncoder,HashingEncoder,0.8101694915254237
19,titanic,Name,Nominal,BinaryEncoder,HashingEncoder,0.7050847457627119
20,titanic,Name,Nominal,HashingEncoder,OneHotEncoder,0.6983050847457627
21,titanic,Name,Nominal,HashingEncoder,BinaryEncoder,0.7050847457627119
22,titanic,Name,Nominal,HashingEncoder,HashingEncoder,0.688135593220339
23,titanic,Name,Nominal,HashingEncoder,HashingEncoder,0.688135593220339
24,titanic,Ticket,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
25,titanic,Ticket,Nominal,OneHotEncoder,BinaryEncoder,0.8101694915254237
26,titanic,Ticket,Nominal,OneHotEncoder,HashingEncoder,0.8101694915254237
27,titanic,Ticket,Nominal,OneHotEncoder,HashingEncoder,0.7423728813559322
28,titanic,Ticket,Nominal,BinaryEncoder,OneHotEncoder,0.8169491525423729
29,titanic,Ticket,Nominal,BinaryEncoder,BinaryEncoder,0.8169491525423729
30,titanic,Ticket,Nominal,BinaryEncoder,HashingEncoder,0.8135593220338984
31,titanic,Ticket,Nominal,BinaryEncoder,HashingEncoder,0.7254237288135593
32,titanic,Ticket,Nominal,HashingEncoder,OneHotEncoder,0.7423728813559322
33,titanic,Ticket,Nominal,HashingEncoder,BinaryEncoder,0.7254237288135593
34,titanic,Ticket,Nominal,HashingEncoder,HashingEncoder,0.7050847457627119
35,titanic,Ticket,Nominal,HashingEncoder,HashingEncoder,0.7050847457627119
36,titanic,Embarked,Nominal,OneHotEncoder,OneHotEncoder,0.8203389830508474
